name,age,team,pace,shooting,passing,dribbling,position,direction,joined,contract,preferred_foot,international_rep,wage
Lionel Andrés Messi Cuccittini,34,Argentina,85,92,91,95,Winger,Right,2021-08-10,2023,Left,5,320000
Robert Lewandowski,32,Poland,78,92,79,86,Striker,Center,2014-07-01,2023,Right,5,270000
Cristiano Ronaldo dos Santos Aveiro,36,Portugal,100,94,80,88,Striker,Center,2021-08-27,2023,Right,5,270000
Neymar da Silva Santos Júnior,29,Brazil,91,83,86,94,Winger,Left,2017-08-03,2025,Right,5,270000
Kevin De Bruyne,30,Belgium,76,86,93,88,Midfielder,Right,2015-08-30,2025,Right,4,350000
Kylian Mbappé Lottin,22,France,97,88,80,92,Striker,Center,2018-07-01,2022,Right,4,230000
Harry Kane,27,England,70,91,83,83,Striker,Center,2010-07-28,2024,Right,4,240000
N'Golo Kanté,30,France,78,66,75,82,Midfielder,Right,2016-07-16,2023,Right,4,230000
Karim Benzema,33,France,76,86,81,87,Forward,Center,2009-07-09,2023,Right,4,350000
손흥민 孙兴慜,28,Korea Republic,88,87,82,86,Winger,Left,2015-08-28,2025,Right,4,220000
Carlos Henrique Venancio Casimiro,29,Brazil,65,73,76,73,Midfielder,Center,2013-07-11,2025,Right,3,310000
Virgil van Dijk,29,Netherlands,78,60,71,72,Defender,Left,2018-01-01,2025,Right,4,230000
Sadio Mané,29,Senegal,91,83,80,89,Winger,Left,2016-07-01,2023,Right,4,270000
Mohamed Salah Ghaly,29,Egypt,90,87,81,90,Winger,Right,2017-07-01,2023,Left,4,270000
Joshua Walter Kimmich,26,Germany,70,73,86,84,Midfielder,Right,2015-07-01,2025,Right,4,160000
Sergio Ramos García,35,Spain,70,70,76,74,Defender,Left,2021-07-08,2023,Right,4,115000
Luis Alberto Suárez Díaz,34,Uruguay,72,90,82,84,Striker,Right,2020-09-25,2022,Right,5,135000
Toni Kroos,31,Germany,53,81,91,81,Midfielder,Left,2014-07-17,2023,Right,4,310000
Romelu Lukaku Menama,28,Belgium,84,87,74,78,Striker,Center,2021-08-12,2026,Left,4,260000
Raheem Sterling,26,England,91,82,79,87,Substitute,Pending,2015-07-14,2023,Right,4,290000
Bruno Miguel Borges Fernandes,26,Portugal,75,86,89,84,Midfielder,Center,2020-01-30,2025,Right,3,250000
Erling Braut Haaland,20,Norway,89,91,65,80,Striker,Right,2020-01-01,2024,Left,4,110000
Sergio Leonel Agüero del Castillo,33,Argentina,71,89,75,87,Striker,Center,2021-07-01,2023,Right,4,260000
Luka Modrić,35,Croatia,73,76,89,88,Midfielder,Right,2012-08-01,2022,Right,4,190000
Ángel Fabián Di María Hernández,33,Argentina,83,81,86,87,Substitute,Pending,2015-08-06,2022,Left,4,160000
Thomas Müller,31,Germany,67,84,83,80,Midfielder,Center,2008-08-10,2023,Right,4,140000
Ciro Immobile,31,Italy,86,87,67,81,Striker,Center,2016-07-27,2025,Right,4,125000
Paul Pogba,28,France,71,81,86,86,Midfielder,Right,2016-08-09,2022,Right,4,220000
Marco Verratti,28,Italy,64,61,87,91,Midfielder,Left,2012-07-18,2024,Right,3,155000
Marcos Aoás Corrêa,27,Brazil,81,53,75,74,Defender,Right,2013-07-19,2024,Right,3,135000
Leon Christoph Goretzka,26,Germany,81,82,82,84,Midfielder,Left,2018-07-01,2026,Right,4,140000
Paulo Bruno Exequiel Dybala,27,Argentina,84,86,86,90,Midfielder,Center,2015-07-01,2022,Left,3,160000
Andrew Robertson,27,Scotland,84,61,81,81,Defender,Left,2017-07-21,2026,Left,3,175000
Frenkie de Jong,24,Netherlands,81,69,85,88,Midfielder,Right,2019-07-01,2026,Right,3,210000
Trent Alexander-Arnold,22,England,79,68,88,80,Defender,Right,2015-10-07,2025,Right,3,150000
Jadon Sancho,21,England,81,76,82,91,Midfielder,Left,2021-07-23,2026,Right,3,150000
Rúben dos Santos Gato Alves Dias,24,Portugal,61,38,65,68,Defender,Right,2020-09-29,2027,Right,3,170000
Giorgio Chiellini,36,Italy,68,46,60,59,Substitute,Pending,2005-07-01,2023,Left,4,88000
Mats Hummels,32,Germany,56,59,77,73,Defender,Left,2019-07-01,2022,Right,4,95000
Jordi Alba Ramos,32,Spain,86,69,81,83,Defender,Left,2012-07-01,2024,Left,3,200000
Thiago Alcântara do Nascimento,30,Spain,63,72,86,90,Midfielder,Left,2020-09-18,2024,Right,3,180000
Sergio Busquets i Burgos,32,Spain,42,62,79,80,Midfielder,Center,2008-09-01,2023,Right,4,200000
Daniel Parejo Muñoz,32,Spain,50,83,90,81,Midfielder,Left,2020-08-12,2024,Right,2,64000
Lorenzo Insigne,30,Italy,87,78,85,90,Winger,Left,2010-07-01,2022,Right,4,125000
Kalidou Koulibaly,30,Senegal,81,28,51,65,Defender,Left,2014-07-01,2023,Right,3,105000
Raphaël Varane,28,France,82,49,64,65,Defender,Right,2021-07-27,2025,Right,3,180000
Riyad Mahrez,30,Algeria,81,79,81,90,Winger,Right,2018-07-10,2023,Left,3,220000
Gerard Moreno Balagueró,29,Spain,79,86,77,84,Striker,Right,2018-07-02,2027,Left,2,73000
Jamie Vardy,34,England,85,84,70,80,Striker,Center,2012-05-01,2023,Right,3,180000
Fábio Henrique Tavares,27,Brazil,67,69,78,78,Midfielder,Center,2018-07-01,2026,Right,3,165000
