nombre,edad,seleccion,posicion
Lionel Andrés Messi Cuccittini,34,Argentina,Winger
Robert Lewandowski,32,Poland,Striker
Cristiano Ronaldo dos Santos Aveiro,36,Portugal,Striker
Neymar da Silva Santos Júnior,29,Brazil,Winger
Kevin De Bruyne,30,Belgium,Midfielder
Kylian Mbappé Lottin,22,France,Striker
Harry Kane,27,England,Striker
N'Golo Kanté,30,France,Midfielder
Karim Benzema,33,France,Forward
손흥민 孙兴慜,28,Korea Republic,Winger
Carlos Henrique Venancio Casimiro,29,Brazil,Midfielder
Virgil van Dijk,29,Netherlands,Defender
Sadio Mané,29,Senegal,Winger
Mohamed Salah Ghaly,29,Egypt,Winger
Joshua Walter Kimmich,26,Germany,Midfielder
Sergio Ramos García,35,Spain,Defender
Luis Alberto Suárez Díaz,34,Uruguay,Striker
Toni Kroos,31,Germany,Midfielder
Romelu Lukaku Menama,28,Belgium,Striker
Raheem Sterling,26,England,Substitute
Bruno Miguel Borges Fernandes,26,Portugal,Midfielder
Erling Braut Haaland,20,Norway,Striker
Sergio Leonel Agüero del Castillo,33,Argentina,Striker
Luka Modrić,35,Croatia,Midfielder
Ángel Fabián Di María Hernández,33,Argentina,Substitute
Thomas Müller,31,Germany,Midfielder
Ciro Immobile,31,Italy,Striker
Paul Pogba,28,France,Midfielder
Marco Verratti,28,Italy,Midfielder
Marcos Aoás Corrêa,27,Brazil,Defender
Leon Christoph Goretzka,26,Germany,Midfielder
Paulo Bruno Exequiel Dybala,27,Argentina,Midfielder
Andrew Robertson,27,Scotland,Defender
Frenkie de Jong,24,Netherlands,Midfielder
Trent Alexander-Arnold,22,England,Defender
Jadon Sancho,21,England,Midfielder
Rúben dos Santos Gato Alves Dias,24,Portugal,Defender
Giorgio Chiellini,36,Italy,Substitute
Mats Hummels,32,Germany,Defender
Jordi Alba Ramos,32,Spain,Defender
Thiago Alcântara do Nascimento,30,Spain,Midfielder
Sergio Busquets i Burgos,32,Spain,Midfielder
Daniel Parejo Muñoz,32,Spain,Midfielder
Lorenzo Insigne,30,Italy,Winger
Kalidou Koulibaly,30,Senegal,Defender
Raphaël Varane,28,France,Defender
Riyad Mahrez,30,Algeria,Winger
Gerard Moreno Balagueró,29,Spain,Striker
Jamie Vardy,34,England,Striker
Fábio Henrique Tavares,27,Brazil,Midfielder
João Pedro Cavaco Cancelo,27,Portugal,Defender
Aymeric Laporte,27,Spain,Defender
Kingsley Junior Coman,25,France,Substitute
Bernardo Mota Veiga de Carvalho e Silva,26,Portugal,Substitute
Marcos Llorente Moreno,26,Spain,Midfielder
Rodrigo Hernández Cascante,25,Spain,Midfielder
Milan Škriniar,26,Slovakia,Defender
Alejandro Darío Gómez,33,Argentina,Midfielder
Thiago Emiliano da Silva,36,Brazil,Substitute
David Josué Jiménez Silva,35,Spain,Midfielder
Edinson Roberto Cavani Gómez,34,Uruguay,Substitute
Eden Hazard,30,Belgium,Winger
Leonardo Bonucci,34,Italy,Defender
İlkay Gündoğan,30,Germany,Midfielder
Marco Reus,32,Germany,Midfielder
Kyle Walker,31,England,Defender
Pierre-Emerick Emiliano François Aubameyang,32,Gabon,Striker
Jorge Resurrección Merodio,29,Spain,Midfielder
Stefan de Vrij,29,Netherlands,Defender
Roberto Firmino Barbosa de Oliveira,29,Brazil,Forward
